,Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL,Calories
2,3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) - chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves,Salt - to taste,1 teaspoon Lemon juice","1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) - chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves,Salt - to taste,1 teaspoon Lemon juice",20,30,50,4,South Indian Recipes,breakfast,High Protein Vegetarian,"To begin making the Ragi Vermicelli Recipe, first steam the ragi vermicelli in a rice cooker or a steamer for about 5-6 minutes or till it is cooked but firm.Keep aside this aside till later use. You can add a few drops of oil and mix it so that they don't stick to each other.Place a kadai on the heat, add the ghee or oil to it and when warm add hing and allow it to sizzle for 30 seconds. Then follow it up with mustard seeds, urad dal and curry leaves, and allow them to crackle.Saute for 1 minute or so till the urad dal is slightly browned.Then, add onions and fry till translucent and soft.Next, add the green chillies along with par boiled carrots and peas. Sprinkle some salt and cook for 2-3 minutes or until the vegetables are semi cooked.Then, add the steamed ragi vermicelli toss it together so the vegetables are all well combined.Switch off the heat, take the vermicelli out into a serving dish and to with lemon juice. Mix well and serve along with Coconut Chutney and a hot cup of coffee or tea for a wholesome breakfast.
","To begin making the Ragi Vermicelli Recipe, first steam the ragi vermicelli in a rice cooker or a steamer for about 5-6 minutes or till it is cooked but firm.Keep aside this aside till later use. You can add a few drops of oil and mix it so that they don't stick to each other.Place a kadai on the heat, add the ghee or oil to it and when warm add hing and allow it to sizzle for 30 seconds. Then follow it up with mustard seeds, urad dal and curry leaves, and allow them to crackle.Saute for 1 minute or so till the urad dal is slightly browned.Then, add onions and fry till translucent and soft.Next, add the green chillies along with par boiled carrots and peas. Sprinkle some salt and cook for 2-3 minutes or until the vegetables are semi cooked.Then, add the steamed ragi vermicelli toss it together so the vegetables are all well combined.Switch off the heat, take the vermicelli out into a serving dish and to with lemon juice. Mix well and serve along with Coconut Chutney and a hot cup of coffee or tea for a wholesome breakfast.",http://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast,611.25
4,5,आंध्रा स्टाइल आलम पचड़ी रेसिपी - Adrak Chutney (Recipe In Hindi),Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"1 बड़ा चमच्च चना दाल,1 बड़ा चमच्च सफ़ेद उरद दाल,2 सुखी लाल मिर्च,1 बड़ा चमच्च धनिये के बीज,3 इंच अदरक - काट ले,1 प्याज - काट ले,1 टमाटर - काट ले,नमक - स्वाद अनुसार,1 छोटा चमच्च राइ,हींग - चुटकी भर,तेल - प्रयोग अनुसार,1 टहनी कढ़ी","1 tablespoon chana dal, 1 tablespoon white urad dal, 2 red chillies, 1 tablespoon coriander seeds, 3 inches ginger - chop, 1 onion - chop, 1 tomato - chop, salt - as per taste, 1 Teaspoon mustard, asafoetida - a pinch, oil - as per use, 1 sprig curry",10,20,30,4,Andhra,breakfast,Vegetarian,"आंध्रा स्टाइल आलम पचड़ी बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम करे ले. इसमें दाल डाले और भूरा होने तक पका ले.अब इसमें सुखी लाल मिर्च, धनिये के बीज, प्याज, अदरक डाले और प्याज के नरम होने तक पकाए। प्याज के पकने के बाद, इसमें टमाटर डाले और टमाटर के नरम होने तक पका ले. गैस बंद करें और ठंडा होने दे. ठंडा होने के बाद इसको एक मिक्सर ग्राइंडर में डाले और पेस्ट बना ले.  तड़के के लिए, एक छोटी कढ़ाई में तेल गरम करें। इसमें राइ डाले और 10 सेकण्ड्स तक पकने दे. अब इसमें कढ़ी पत्ता, हींग डाले और 10 सेकण्ड्स तक पकने दे. इसे चटनी में डाले और मिला ले. आंध्रा स्टाइल आलम पचड़ी को घी रोस्ट डोसा और किरई सांबर के साथ सुबह के नाश्ते के लिए परोसे।
","To make Andhra Style Alam Pachadi, first heat oil in a pan. Add lentils and cook till it turns brown. Now add dry red chillies, coriander seeds, onion, ginger and cook till the onion becomes soft. After the onion is cooked, add tomatoes and cook till the tomatoes become soft. Turn off the gas and allow it to cool. After it cools down, put it in a mixer grinder and make a paste. For tempering, heat the oil in a small pan. Add mustard seeds and let it cook for 10 seconds. Now add curry leaves, asafoetida and let it cook for 10 seconds. Add it to the chutney and mix. Serve Andhra Style Alam Pachadi with Ghee Roast Dosa and Kirai Sambar for breakfast.",https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi,520.0899999999999
5,6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"1 cup Rice - soaked for 20 minutes,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,1 cup Mint Leaves (Pudina) - tightly packed,1/4 cup Coriander (Dhania) Leaves - tightly packed,1 Green Chilli,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),5 cups Water,1 teaspoon Sunflower Oil,Salt - to taste,2 tablespoons Ghee,8 Cashew nuts - halved,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,1 pinch Asafoetida (hing)","1 cup Rice - soaked for 20 minutes,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,1 cup Mint Leaves (Pudina) - tightly packed,1/4 cup Coriander (Dhania) Leaves - tightly packed,1 Green Chilli,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),5 cups Water,1 teaspoon Sunflower Oil,Salt - to taste,2 tablespoons Ghee,8 Cashew nuts - halved,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,1 pinch Asafoetida (hing)",10,20,30,4,South Indian Recipes,breakfast,High Protein Vegetarian,"To begin making Pudina Khara Pongal Recipe, wash and soak the rice and dal for 20 minutes.Make a paste of mint/pudina, coriander, green chilli and ginger using a mixer grinder and keep aside.Now, heat oil in the pressure cooker, add the cumin seeds and let it crackle.Add the soaked rice and dal and fry for a few minutes.Add the mint coriander paste and saute for a minute.Add 5 cups of water, season with salt and pressure cook for 4 to 5 whistles and keep aside.In the mean prepare the tadka by heating ghee in a small tadka pan.Add in the cumin seeds, peppercorns and let it crackle.Add the cashew halves and fry till they turn golden.Add the curry leaves and asafoetida and turn off the flame.Once the pressure has been released, open the lid and mash the pongal mixture.Add in the tadka over it and Serve the Pudina Khara Pongal Recipe along with Kathirikai Gothsu Recipe (Spicy and Tangy Eggplant Curry)and South Indian Coconut Chutney for a relaxed weekend breakfast.
","To begin making Pudina Khara Pongal Recipe, wash and soak the rice and dal for 20 minutes.Make a paste of mint/pudina, coriander, green chilli and ginger using a mixer grinder and keep aside.Now, heat oil in the pressure cooker, add the cumin seeds and let it crackle.Add the soaked rice and dal and fry for a few minutes.Add the mint coriander paste and saute for a minute.Add 5 cups of water, season with salt and pressure cook for 4 to 5 whistles and keep aside.In the mean prepare the tadka by heating ghee in a small tadka pan.Add in the cumin seeds, peppercorns and let it crackle.Add the cashew halves and fry till they turn golden.Add the curry leaves and asafoetida and turn off the flame.Once the pressure has been released, open the lid and mash the pongal mixture.Add in the tadka over it and Serve the Pudina Khara Pongal Recipe along with Kathirikai Gothsu Recipe (Spicy and Tangy Eggplant Curry)and South Indian Coconut Chutney for a relaxed weekend breakfast.",http://www.archanaskitchen.com/pudina-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices,717.7100000000002
21,22,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth","1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth",30,30,60,4,Maharashtrian Recipes,breakfast,Diabetic Friendly,"To begin making the Maharashtrian Kakdi Thalipeeth Recipe, in a large mixing bowl add all the 3 flours together and mix them. Add all the remaining ingredients like the grated cucumber, turmeric powder, cumin powder, coriander powder, red chili powder, green chillies, coriander leaves, garlic and salt to taste.Mix everything well and add a little water at a time to make a smooth and firm dough of the Kakdi Thalipeeth. The cucumber will release water when it gets combined with salt, so take care to add little water at a time. The dough will be slightly sticky to handle. Allow the dough to rest for 5 minutes. Divide the dough into 4 portions. Preheat the skillet on medium heat. Keep water in a separate bowl to wet fingers and to wet a muslin cloth.Spread a wet muslin cloth on a smooth counter top. Take a portion of the Kakdi Thalipeeth mixture and pat it on the wet cloth to about 4 inches in diameter. Try not to make it too thin as it can break while flipping it on the skillet.Carefully lift the cloth along with the patted mixture and flip the Thalipeeth over on the skillet. Drizzle a teaspoon of oil or ghee around the Thalipeeth and cook on medium heat.After about 3 minutes, you will be able to flip the Kakdi Thalipeeth over to the other side. Allow each side to cook on medium heat for about 3-4 minutes, until the Thalipeeth are slightly crisp and browned. Remove from heat and place on a serving platter.Continue the same procedure with the other portions of the Kakdi Thalipeeth dough.Serve the Maharashtrian Kakdi Thalipeeth along with Homemade Yogurt or lahsun chutney for breakfast.
","To begin making the Maharashtrian Kakdi Thalipeeth Recipe, in a large mixing bowl add all the 3 flours together and mix them. Add all the remaining ingredients like the grated cucumber, turmeric powder, cumin powder, coriander powder, red chili powder, green chillies, coriander leaves, garlic and salt to taste.Mix everything well and add a little water at a time to make a smooth and firm dough of the Kakdi Thalipeeth. The cucumber will release water when it gets combined with salt, so take care to add little water at a time. The dough will be slightly sticky to handle. Allow the dough to rest for 5 minutes. Divide the dough into 4 portions. Preheat the skillet on medium heat. Keep water in a separate bowl to wet fingers and to wet a muslin cloth.Spread a wet muslin cloth on a smooth counter top. Take a portion of the Kakdi Thalipeeth mixture and pat it on the wet cloth to about 4 inches in diameter. Try not to make it too thin as it can break while flipping it on the skillet.Carefully lift the cloth along with the patted mixture and flip the Thalipeeth over on the skillet. Drizzle a teaspoon of oil or ghee around the Thalipeeth and cook on medium heat.After about 3 minutes, you will be able to flip the Kakdi Thalipeeth over to the other side. Allow each side to cook on medium heat for about 3-4 minutes, until the Thalipeeth are slightly crisp and browned. Remove from heat and place on a serving platter.Continue the same procedure with the other portions of the Kakdi Thalipeeth dough.Serve the Maharashtrian Kakdi Thalipeeth along with Homemade Yogurt or lahsun chutney for breakfast.",http://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread,1113.94
40,45,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more","2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more",0,10,10,2,North Indian Recipes,breakfast,Vegetarian,"To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves. Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds. Strain the Kesar chai into the cups and serve. Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack.
","To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves. Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds. Strain the Kesar chai into the cups and serve. Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack.",http://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea,52.25
61,69,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis","1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis",10,25,35,3,North Indian Recipes,breakfast,High Protein Vegetarian,"To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them. In a large bowl, add flour, pumpkin, spinach, spice powders, and salt. Combine them well.Add water little by little and mix them well to form a tight dough. Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls. Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame. Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough. Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney.
","To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them. In a large bowl, add flour, pumpkin, spinach, spice powders, and salt. Combine them well.Add water little by little and mix them well to form a tight dough. Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls. Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame. Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough. Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney.",http://www.archanaskitchen.com/kaddu-palak-roti-recipe-pumpkin-spinach-flat-bread,1777.8400000000001
63,71,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking","1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking",20,30,50,4,North Indian Recipes,breakfast,High Protein Vegetarian,"To begin making the Vegan Chickpea Omelette Recipe, first place a non-stick griddle/tava on the heat. Turn the heat to low so it can slowly pre-heat while you prepare the batter.To make the batter, sieve the chickpea flour/besan into a mixing bowl to remove all lumps.To it, add the ginger-garlic paste, ajwain, asafoetida, turmeric powder, baking soda, onion, tomato, green chillies, Coriander leaves and salt. Mix well to combine.Next, stir in the coconut milk (or Soy or Almond milk), if using, and mix to make a smooth batter.Alternatively, add enough water to make a batter which is smooth and spreadable, but not too watery/runny.When the griddle is hot enough, pour a ladle full of the batter on it and spread evenly into a round pancake.Drizzle oil along the edges of the omelette and cook for 2-3 minutes, on medium heat till the bottom is golden brown. Lift it gently with a spatula to check if it releases and if that bottom has cooked.When it looks golden, flip the omelette over and cook on the other side for 1-2 minutes.Serve hot along with Peanut Carrot Chutney.
","To begin making the Vegan Chickpea Omelette Recipe, first place a non-stick griddle/tava on the heat. Turn the heat to low so it can slowly pre-heat while you prepare the batter.To make the batter, sieve the chickpea flour/besan into a mixing bowl to remove all lumps.To it, add the ginger-garlic paste, ajwain, asafoetida, turmeric powder, baking soda, onion, tomato, green chillies, Coriander leaves and salt. Mix well to combine.Next, stir in the coconut milk (or Soy or Almond milk), if using, and mix to make a smooth batter.Alternatively, add enough water to make a batter which is smooth and spreadable, but not too watery/runny.When the griddle is hot enough, pour a ladle full of the batter on it and spread evenly into a round pancake.Drizzle oil along the edges of the omelette and cook for 2-3 minutes, on medium heat till the bottom is golden brown. Lift it gently with a spatula to check if it releases and if that bottom has cooked.When it looks golden, flip the omelette over and cook on the other side for 1-2 minutes.Serve hot along with Peanut Carrot Chutney.",http://www.archanaskitchen.com/vegan-chickpea-omelette-recipe-spiced-chickpea-flour-pancakes,1142.6000000000001
67,76,Masala Sandwich Recipe With Rocket Leaves,Masala Sandwich Recipe With Rocket Leaves,"100 grams Paneer (Homemade Cottage Cheese),2 Potatoes (Aloo) - boiled and mashed,1 Onion - julienned,1 inch Ginger - grated,2 cloves Garlic - grated,2 Green Bell Pepper (Capsicum) - julienned,3 Tomatoes - finely chopped,Pav bhaji masala - to taste,Salt - to taste,2 tablespoons Coriander (Dhania) Leaves - finely chopped,French bread - or rye bread to make sandwiches,Rocket leaves - or salad leaves for the sandwich","100 grams Paneer (Homemade Cottage Cheese),2 Potatoes (Aloo) - boiled and mashed,1 Onion - julienned,1 inch Ginger - grated,2 cloves Garlic - grated,2 Green Bell Pepper (Capsicum) - julienned,3 Tomatoes - finely chopped,Pav bhaji masala - to taste,Salt - to taste,2 tablespoons Coriander (Dhania) Leaves - finely chopped,French bread - or rye bread to make sandwiches,Rocket leaves - or salad leaves for the sandwich",15,15,30,2,Fusion,breakfast,Vegetarian,"To begin making the Masala Sandwich with Rocket Leaves, we will first make the masala for the sandwich.Heat a teaspoon of oil in a wok/kadai, add the onions, ginger, garlic, capsicum and saute them on low to medium heat until soft and tender. Add the tomatoes, and stir fry until softened. This will take 4 to 5 minutes. Once the tomatoes have softened, add the mashed potatoes, paneer and the pav bhaji masala. Stir well to combine. Check the salt and spices and adjust to suit your taste.Cover the pan, turn the heat to low and cook for 3 to 4 minutes. Once done, turn off the heat and stir in the coriander leaves.Slice the french rolls into half lengthwise and spread butter on each half. Toast them on a skillet until lightly browned.Once the bread is toasted spread the Bombay Masala mixture on one half , place the rocket leaves and close the sandwich with the other half on top and press gently so that the sandwich holds together.Serve the Masala Sandwich with Rocket Leaves by cutting them into half.Serve them hot and fresh with Strawberry Yogurt Lassi Recipe or Coffee Banana Oats Smoothie Recipe for breakfast.
","To begin making the Masala Sandwich with Rocket Leaves, we will first make the masala for the sandwich.Heat a teaspoon of oil in a wok/kadai, add the onions, ginger, garlic, capsicum and saute them on low to medium heat until soft and tender. Add the tomatoes, and stir fry until softened. This will take 4 to 5 minutes. Once the tomatoes have softened, add the mashed potatoes, paneer and the pav bhaji masala. Stir well to combine. Check the salt and spices and adjust to suit your taste.Cover the pan, turn the heat to low and cook for 3 to 4 minutes. Once done, turn off the heat and stir in the coriander leaves.Slice the french rolls into half lengthwise and spread butter on each half. Toast them on a skillet until lightly browned.Once the bread is toasted spread the Bombay Masala mixture on one half , place the rocket leaves and close the sandwich with the other half on top and press gently so that the sandwich holds together.Serve the Masala Sandwich with Rocket Leaves by cutting them into half.Serve them hot and fresh with Strawberry Yogurt Lassi Recipe or Coffee Banana Oats Smoothie Recipe for breakfast.",http://www.archanaskitchen.com/masala-sandwich-recipe-with-rocket-leaves,1918.61
83,93,पनीर और हरे मटर का पराठा रेसिपी - Paneer and Green Peas Paratha Recipe,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"1/2 कप हरे मटर - पेस्ट बना ले,1 कप पनीर - क्रम्ब्ल कर ले,1 इंच अदरक - काट ले,1 हरी मिर्च - काट ले,1 छोटा चम्मच हल्दी पाउडर,2 छोटे चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच अमचूर पाउडर,1 छोटा चम्मच धनिया पाउडर,नमक - स्वाद अनुसार,1 कप गेहूं का आटा,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार,पानी - गुनगुना","1/2 cup green peas - make paste, 1 cup cheese - crumble, cut 1 inch ginger - 1 green chili - chopped, 1 tsp turmeric powder, 2 tsp red chili powder, 1 tsp mango powder Powder, 1 tsp coriander powder, salt - according to taste, 1 cup wheat flour, salt - according to taste, oil - according to use, water - lukewarm",20,45,65,4,North Indian Recipes,breakfast,High Protein Vegetarian,"पनीर और हरे मटर का पराठा रेसिपी बनाने के लिए सबसे पहले सारी सामग्री तैयार कर ले. पराठे का आटा बनाने के लिए:अब एक बाउल में गेहूं का आटा, नमक, तेल डाले और मिला ले. थोड़ा थोड़ा पानी डाले और आटे को गुंद ले. ढके और अलग से रख दे. मसाला बनाने के लिए:एक कढ़ाई में तेल गरम करें। इसमें जीरा डाले और थोड़े सेकण्ड्स के लिए पका ले. अब इसमें अदरक, हरे मटर डाले और आधा पका ले.अब इसमें पनीर, लाल मिर्च पाउडर, धनिया पाउडर, अमचूर पाउडर, नमक डाले। सबको अच्छी तरह से मिला ले और अलग से रख दे. ठंडा होने दे। अब आटे का थोड़ा टुकड़ा ले और उसे गोल बेल ले. बिच में पनीर मटर के मसाले का मिश्रण रखें और चारो तरफ से बंद कर ले. अब इसे सूखे आटे से कोट कर ले. फिर से बेल ले. मोटा मोटा ही बेले वरना मसाला बाहर आ सकता है. ऐसे सारे पराठे बना ले.एक तवा गरम करें। इस पर पराठा डाले और ऊपर से घी लगा ले. दोनों तरफ से सुनहरा भूरा होने तक पकाए और गैस बंद कर ले. पनीर और हरे मटर का पराठा रेसिपी को आप धनिया पुदीना चटनी और तड़का रायता के साथ शाम के नाश्ते के लिए परोसे।
","To make paneer and green pea paratha recipe, prepare all the ingredients first. To make paratha flour: Now add wheat flour, salt, oil and mix in a bowl. Add a little water and knead the dough. Cover and keep aside. To make the masala: Heat the oil in a pan. Add cumin seeds and cook for a few seconds. Now add ginger, green peas and cook half. Now add cottage cheese, red chilli powder, coriander powder, mango powder, salt. Mix well and keep aside. Let it cool down. Now take a little piece of flour and roll it out. Place the mixture of paneer peas in the middle and close it from all sides. Now coat it with dry flour. Take the vine again. Only fat, or else spices can come out. Make all such parathas. Heat a griddle. Put paratha on it and apply ghee on top. Cook till it turns golden brown from both sides and turn off the gas. Serve Paneer and Hare Matar Paratha Recipe with Coriander Mint Chutney and Tadka Raita for an evening snack.",http://www.archanaskitchen.com/paneer-and-green-peas-paratha-recipe-in-hindi,1198.72
87,97,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"1 cup Walnuts,1 cup Dried Figs,1/3 cup Flax seeds,1/3 cup Honey,1/2 cup Roasted Peanuts (Moongphali),1 teaspoon Cinnamon Powder (Dalchini)","1 cup Walnuts,1 cup Dried Figs,1/3 cup Flax seeds,1/3 cup Honey,1/2 cup Roasted Peanuts (Moongphali),1 teaspoon Cinnamon Powder (Dalchini)",5,20,25,4,Continental,breakfast,Vegetarian,"To begin making the Walnut and Flax Seed Trail Mix Recipe With Figs & Honey, in a mixing bowl, combine the walnuts, figs, flax seeds, honey, roasted peanuts and the cinnamon powder. Preheat an oven to 190 degree celsius. Transfer the Walnut and Flax Seed Trail Mix onto a baking tray and bake for 12 to 15 minutes until they are crisp.Remove the tray from the oven. Allow the Walnut and Flax Seed Trail Mix to cool and transfer to an airtight jar and store.Serve Walnut and Flax Seed Trail Mix Recipe With Figs & Honey along with  Watermelon Smoothie Recipe as an after school snack for your kids.
","To begin making the Walnut and Flax Seed Trail Mix Recipe With Figs & Honey, in a mixing bowl, combine the walnuts, figs, flax seeds, honey, roasted peanuts and the cinnamon powder. Preheat an oven to 190 degree celsius. Transfer the Walnut and Flax Seed Trail Mix onto a baking tray and bake for 12 to 15 minutes until they are crisp.Remove the tray from the oven. Allow the Walnut and Flax Seed Trail Mix to cool and transfer to an airtight jar and store.Serve Walnut and Flax Seed Trail Mix Recipe With Figs & Honey along with  Watermelon Smoothie Recipe as an after school snack for your kids.",https://www.archanaskitchen.com/walnut-and-flax-seed-trail-mix-recipe-with-figs-and-honey,2123.87
